Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,32.26592797783933,-0.29638633,2.2277776741319233,2.2277776741319233,1.0
24000,1.410677,34.08454810495627,-0.02334079,2.393877489573754,2.393877489573754,1.0
36000,1.4001676,39.033557046979865,0.23618123,2.9060000268618267,2.9060000268618267,1.0
48000,1.3903483,45.36046511627907,0.43688214,3.5386102227170495,3.5386102227170495,1.0
60000,1.377188,57.03398058252427,0.70617944,4.717961690958264,4.717961690958264,1.0
72000,1.3664879,78.48322147651007,0.93219715,6.744079910610852,6.744079910610852,1.0
84000,1.3570647,137.0340909090909,1.2983726,12.42272951792587,12.42272951792587,1.0
96000,1.3574492,207.64912280701753,1.6709604,19.86316117696595,19.86316117696595,1.0
108000,1.3498281,414.8965517241379,2.0567062,38.22414344754712,38.22414344754712,1.0
120000,1.3501556,775.75,2.7641973,77.19376200437546,77.19376200437546,1.0
132000,1.3453395,909.3846153846154,3.1611075,90.86924479557918,90.86924479557918,1.0
144000,1.3315881,904.0,3.667192,90.2461676964393,90.2461676964393,1.0
156000,1.3297092,927.8333333333334,4.0124574,93.26155266394981,93.26155266394981,1.0
168000,1.3150547,810.4666666666667,4.4238477,80.85334583918254,80.85334583918254,1.0
180000,1.3083956,963.4166666666666,4.9466023,96.35001436869304,96.35001436869304,1.0
192000,1.3031555,885.9285714285714,5.091141,88.5357277733939,88.5357277733939,1.0
204000,1.3004731,999.0,5.7618103,100.00001525878906,100.00001525878906,1.0
216000,1.2935104,940.4615384615385,6.1264963,93.80770697960487,93.80770697960487,1.0
228000,1.2997783,878.8461538461538,6.474902,87.73078272892879,87.73078272892879,1.0
240000,1.3011937,999.0,6.837181,100.00001525878906,100.00001525878906,1.0
252000,1.3011856,983.1538461538462,7.114669,98.33078413743239,98.33078413743239,1.0
264000,1.3061261,999.0,7.4251294,100.00001525878906,100.00001525878906,1.0
276000,1.299577,999.0,7.7435308,100.00001525878906,100.00001525878906,1.0
288000,1.2942021,988.0,7.98843,98.80834833780925,98.80834833780925,1.0
300000,1.2900589,864.0769230769231,8.238011,86.25385900644156,86.25385900644156,1.0
312000,1.3055393,965.3076923076923,8.518526,96.5461684006911,96.5461684006911,1.0
324000,1.2868323,999.0,8.844013,100.00001525878906,100.00001525878906,1.0
336000,1.2973847,745.2142857142857,9.075297,87.20715604509626,87.20715604509626,1.0
348000,1.3045841,701.4705882352941,9.38073,63.121062429327715,63.121062429327715,1.0
360000,1.3106568,935.0833333333334,9.488004,93.42501449584961,93.42501449584961,1.0
372000,1.2974486,999.0,9.675555,100.00001525878906,100.00001525878906,1.0
384000,1.2927625,999.0,9.8194475,100.00001525878906,100.00001525878906,1.0
396000,1.2905375,999.0,9.899245,100.00001525878906,100.00001525878906,1.0
408000,1.2806654,999.0,9.942552,100.00001525878906,100.00001525878906,1.0
420000,1.2741908,999.0,9.967709,100.00001525878906,100.00001525878906,1.0
432000,1.2680575,999.0,9.978316,100.00001525878906,100.00001525878906,1.0
444000,1.2625481,999.0,9.987794,100.00001525878906,100.00001525878906,1.0
456000,1.2598536,999.0,9.996021,100.00001525878906,100.00001525878906,1.0
468000,1.2487127,996.5833333333334,9.990771,99.66668192545573,99.66668192545573,1.0
480000,1.2515641,999.0,9.974816,100.00001525878906,100.00001525878906,1.0
492000,1.2489887,999.0,9.990508,100.00001525878906,100.00001525878906,1.0
